taz,sum,max,min,mean,std,25p,50p,75p
547,149.65,6.25,0.0,0.89,0.93,0.25,0.75,1.2
548,224.2,4.0,0.0,1.33,0.83,0.71,1.25,2.0
549,177.85,3.75,0.0,1.06,0.78,0.5,1.0,1.5
550,148.0,3.75,0.0,0.88,0.76,0.25,0.75,1.25
551,186.0,4.0,0.0,1.11,0.91,0.36,1.0,1.52
552,286.1,6.0,0.0,1.7,1.35,0.75,1.4,2.4
553,594.3,11.75,0.0,3.54,2.79,1.5,2.5,5.0
554,499.6,13.75,0.0,2.97,2.87,0.8,1.8,4.0
555,437.95,8.0,0.0,2.61,1.92,1.2,2.25,4.0
556,762.25,13.75,0.0,4.54,3.09,2.24,3.9,6.0
557,2692.8,49.25,0.0,16.03,12.3,6.15,14.45,22.56
558,1996.3,62.0,0.0,11.88,10.7,4.25,10.6,15.05
559,845.45,120.5,0.0,5.03,14.01,0.5,2.2,4.0
560,1419.55,28.25,0.0,8.45,6.47,3.71,6.0,12.85
561,1833.35,36.5,0.0,10.91,8.66,4.5,8.0,16.06
562,547.85,11.0,0.0,3.26,2.7,1.0,2.5,5.25
563,1701.3,33.5,0.25,10.13,7.45,4.47,7.75,14.81
564,997.8,16.25,0.2,5.94,3.68,2.94,5.9,8.0
565,2151.8,56.25,0.2,12.81,11.22,5.0,9.22,18.0
566,1088.6,20.25,0.0,6.48,5.26,2.44,4.6,10.06
567,3937.25,78.5,2.2,23.44,16.72,12.32,18.75,32.19
568,3112.85,57.5,0.8,18.53,12.58,7.24,18.9,26.69
569,4118.85,56.25,0.8,24.52,13.97,11.48,26.9,34.5
570,3676.45,75.25,1.8,21.88,12.36,13.36,20.4,27.34
571,3296.1,76.5,0.2,19.62,15.65,5.69,18.58,26.29
572,1535.15,28.5,0.0,9.14,6.21,3.69,9.88,12.8
573,2285.5,44.5,0.0,13.6,10.16,3.94,13.32,20.29
574,286.0,6.8,0.0,1.7,1.53,0.5,1.25,2.5
575,821.95,17.75,0.0,4.89,4.19,1.75,3.5,7.81
